doc_id;keywords
1000;c('\\bpurpose\\b', '\\bshareholder\\b', '\\barticulation\\b', '\\bsolution\\b', '\\bpurposel\\b', '\\blink\\b', '\\beconomic\\b', '\\bsocial\\b', '\\benvironmental\\b', '\\balign\\b', '\\bpriorities\\b', '\\bprofit\\b', '\\bpursu\\b', '\\boutcome\\b', '\\bstakeholder\\b', '\\bgovern\\b', '\\blongterm\\b')
1001;c('\\bpurpose\\b', '\\bstrategy\\b', '\\bcounter\\b', '\\bembedd\\b', '\\bgreenwashing\\b', '\\bpolicy\\b', '\\bvalidity\\b', '\\bembed\\b', '\\bgoverning\\b', '\\bgovern\\b', '\\bshareholder\\b', '\\bopportunity\\b', '\\bintegrate\\b', '\\bpurposel\\b', '\\bgoal\\b', '\\bmanagement\\b', '\\bstakeholder\\b', '\\blongterm\\b')
1002;c('\\bcomposition\\b', '\\bcompetency\\b', '\\bunderrepresented\\b', '\\bbody\\b', '\\bdiversity\\b', '\\bbackground\\b', '\\bdimension\\b', '\\bmember\\b', '\\bboard\\b', '\\bgovernance\\b', '\\bcapture\\b', '\\bsocial\\b', '\\bcapability\\b', '\\bcommitment\\b', '\\bskill\\b', '\\bbreadth\\b', '\\bcommittee\\b', '\\bindependence\\b', '\\bmembership\\b', '\\bnonexecutive\\b', '\\bperspective\\b', '\\bpresentation\\b', '\\brepresentation\\b', '\\btenure\\b', '\\bgoverning\\b', '\\bpeer\\b', '\\bracial\\b', '\\brepresent\\b', '\\buniversal\\b', '\\bvariety\\b', '\\bethnic\\b', '\\binclusion\\b', '\\bqualification\\b', '\\bmindful\\b', '\\bstakeholder\\b', '\\bexecutive\\b')\\b')
1003;c('\\bmilestone\\b', '\\bstrategic\\b', '\\bachievement\\b', '\\bdecisionmak\\b', '\\bboard\\b', '\\bquality\\b', '\\bmanagement\\b', '\\bability\\b', '\\bobjective\\b', '\\bpurpose\\b', '\\boutcomeorient\\b', '\\bgovern\\b', '\\bbody\\b', '\\bstrategy\\b', '\\boversight\\b')
1004;c('\\bremuneration\\b', '\\bincentive\\b', '\\bsenior\\b', '\\bbody\\b', '\\bbonuse\\b', '\\bpay\\b', '\\bgovernance\\b', '\\bobjective\\b', '\\bpayment\\b', '\\bexecutive\\b', '\\bability\\b', '\\bbenefit\\b', '\\bgovern\\b', '\\bclawback\\b', '\\bequitybase\\b', '\\bperformancebase\\b', '\\brecruitment\\b', '\\bretirement\\b', '\\bscheme\\b', '\\bsignon\\b', '\\btermination\\b', '\\bpolicy\\b')
1005;c('\\bmateriality\\b', '\\bstakeholder\\b', '\\bimplication\\b', '\\bengage\\b', '\\bengagement\\b', '\\baccountability\\b', '\\bboardlevel\\b', '\\bimpacte\\b', '\\bimpact\\b', '\\brelationship\\b', '\\bshareholdercentric\\b', '\\bcompanyspecif\\b')
1006;c('\\bcorruption\\b', '\\banticorruption\\b', '\\bincident\\b', '\\bbehaviour\\b', '\\bbehavior\\b', '\\bethical\\b', '\\bculture\\b', '\\bbribery\\b', '\\bpolicy\\b', '\\bgovernance\\b', '\\billegal\\b', '\\bharm\\b', '\\bprotect\\b')
1007;c('\\bethics\\b', '\\blawful\\b', '\\bunethical\\b', '\\bunlawful\\b', '\\bintegrity\\b', '\\bmechanism\\b', '\\bprevent\\b', '\\bethic\\b', '\\bwhistleblow\\b', '\\billegal\\b', '\\bmisconduct\\b', '\\bharm\\b')
1008;c('\\blobby\\b', '\\balignment\\b', '\\bbehavoiur\\b', '\\bpublicly\\b', '\\bpublic\\b', '\\bpurpose\\b', '\\bstrategy\\b', '\\bpolicy\\b', '\\balign\\b', '\\badvocacy\\b', '\\btransparency\\b')
1009;c('\\bbehaviour\\b', '\\bethical\\b', '\\bviolation\\b', '\\bmonetary\\b', '\\banticompetitive\\b', '\\bantitrust\\b', '\\bfraud\\b', '\\bgoverne\\b', '\\bmalpractice\\b', '\\bmanipulation\\b', '\\bloss\\b', '\\bunethical\\b')
